EPOCH,HOURS_WITH_TRADES,AVG_PRICE_RATIO,EPOCH_VOLATILITY,EPOCH_PRICE_RANGE,EPOCH_RANGE_PCT,EPOCH_MIN_PRICE,EPOCH_MAX_PRICE,ESTIMATED_IL_PCT
740,48,1.1770347614737129,0.00217219375278359,0.011250240534630196,0.9558120883825275,1.1668146273523619,1.178064867886992,-0.0011509463010983545
741,48,1.1783797603893824,0.00026597482088238495,0.002116073949699704,0.17957487228060257,1.1776400467832056,1.1797561207329053,	-4.028715755444168e-05
742,49,1.1789131911094863,9.86573401722427e-05,0.0004444376364782787,0.03769892811700701,1.178610610409266,1.1790550480457442,	-1.776753699722633e-06
743,48,1.1794508438038809,0.00039230524722327063,0.0011693850448739607,0.09914656901703028,1.1786909317611236,1.1798603168059976,	-1.2291205142567208e-05
744,49,1.1797442006915402,0.009396469862357261,0.07194798931237067,6.098609280740379,1.1712612210073412,1.2432092103197119,-0.04440787440523897
745,48,1.1807143640045863,0.00017807110010243803,0.0006521429503552056,0.055232914093071246,1.1803894129349808,1.181041555885336,	-3.8133363355896677e-06
746,49,1.1811263805745758,0.00015774804332905685,0.0007501269483050077,0.06350945678989049,1.1805828659787394,1.1813329929270444,	-5.043252437886281e-06
747,48,1.1810433761250017,0.0004325689071258951,0.0018674794344075707,0.15812115559504367,1.1799192727783245,1.181786752212732,	-3.126295696764814e-05
748,49,1.182451077997669,0.00039543345149382485,0.0011031388794306984,0.0932925598324731,1.181890704902257,1.1829938437816876,	-1.0879539746877498e-05
749,48,1.1830496872513447,0.00034173733118457623,0.0013522938814842789,0.11430575537584986,1.1821353641841938,1.1834876580656781,	-1.6338836605900298e-05
750,49,1.1832675792318639,0.00018196492695847133,0.0007115504565695652,0.06013436597590876,1.1830242844368897,1.1837358348934592,	-4.519318319573529e-06
751,48,1.1840085103768259,0.0004096579399461758,0.0012372416116737117,0.10449600664440696,1.1832724639586674,1.184509705570341,	-1.3651977959217021e-05
752,49,1.184564065347674,0.0002714444056619435,0.0008528306444719469,0.07199531620281238,1.184058401674199,1.184911232318671,	-6.480024150601338e-06
753,49,1.1845689696627282,0.00014252188538148896,0.0005444829180707433,0.045964644694835216,1.1843059205370041,1.1848504034550749,	-2.6408947473299804e-06
754,48,1.184798173483108,0.00032600276688987174,0.0010153911570687235,0.08570161397899895,1.184095814157577,1.1851112053146458,	-9.183976357185486e-06
755,49,1.1855358380916965,0.0003709791595049148,0.0015886639195350494,0.13400387137113037,1.184336260329148,1.1859249242486831,	-2.246165272667966e-05
756,49,1.1861189877185414,0.00010845087215124781,0.00039511383119772425,0.03331148352643035,1.185926015546173,1.1863211293773708,	-1.3870579573804775e-06
757,48,1.1868326799684128,0.00020753115782807646,0.0008995712135810852,0.0757959591747193,1.1864630514259609,1.187362622639542,	-7.180314587351688e-06
758,49,1.1873539226335195,0.00012730254010248686,0.0004791027214279264,0.04035045594200669,1.1871253281591898,1.1876044308806177,	-2.0351615837022052e-06
759,49,1.1878857862494827,0.0002399572615803823,0.0007538991262538985,0.06346562396660943,1.1875133964719138,1.1882672955981677,	-5.0348182512038875e-06
760,49,1.1885887375987079,0.00020972256561444988,0.0007869259373129989,0.06620674691086306,1.188102465600154,1.188889391537467,	-5.480022591264344e-06
761,49,1.1889156900161142,0.00013216585506756082,0.0006782143167147758,0.057044778062066245,1.1884798939949075,1.1891581083116223,	-4.068295145209788e-06
762,49,1.189200517356937,0.00018007374256856257,0.0007860825422809636,0.06610176591817123,1.1888863855854088,1.1896724681276898,	-5.461079710666894e-06
763,49,1.1893178057361138,0.00020859679028409732,0.0008467471845885477,0.07119604032703974,1.1889365510024044,1.189783298186993,	-6.335646651756122e-06
764,49,1.1900116200562896,0.00034365280296665666,0.0009465761000009287,0.07954343336211742,1.1895016742970284,1.1904482503970293,	-7.909434829311834e-06
765,50,1.1906306780155003,0.00010624821123604713,0.0003994224081886877,0.0335471288925992,1.190419141733346,1.1908185641415348,	-1.4067902842640478e-06
766,49,1.1907041894007597,0.0003924004614893701,0.001391181463822111,0.11683686646993696,1.1900622458457277,1.1914534273095498,	-1.706203068829737e-05
