EPOCH,EPOCH_START_DATE,EPOCH_END_DATE,NUM_SWAPS,TOTAL_VOLUME_SOL,SOL_TO_JITOSOL_VOLUME,JITOSOL_TO_SOL_VOLUME,NET_SOL_FLOW,TOTAL_VOLUME_USD,AVG_SWAP_SIZE_SOL,AVG_SWAP_SIZE_USD,MAX_SWAP_SOL,P95_SWAP_SOL,AVG_PRICE_RATIO,MIN_PRICE_RATIO,MAX_PRICE_RATIO,PRICE_RATIO_STDDEV,ESTIMATED_FEES_SOL
740,2025-02-10,2025-02-12,55627,279361.560804227,183774.699137098,95586.86166712898,88187.837469969,53539895.69103059,5.02204973851236,962.4803726792851,29447.361079748,4.244602379499996,0.8489800037146841,0.7894736842105262,0.9444444444444445,0.0005795373450095903,698.4039020105675
741,2025-02-12,2025-02-14,55916,191510.51706259698,127566.018159546,63944.498903051004,63621.51925649499,35621280.14331515,3.4249681140030934,637.049863068087,9138.046971856,5.2191653225,0.8486447637536256,0.3199817065074674,0.9411764705882354,0.0022891111894479178,478.77629265649244
742,2025-02-14,2025-02-16,48940,183616.48562219497,125592.73531267302,58023.75030952201,67568.98500315098,34606668.82384795,3.751869342505006,707.1244140549234,6158.539999665,6.909605556899984,0.8482556824096288,0.819292079844094,1.3333333333333335,0.002922259637655128,459.04121405548744
743,2025-02-16,2025-02-18,65220,827695.085937399,374028.5292067211,453666.5567306781,-79638.02752395699,144757561.7008869,12.690817018359382,2219.5271649936662,24552.85,19.334448652999964,0.8478857845332399,0.802458438335656,0.864745825,0.0003828783287344243,2069.2377148434975
744,2025-02-18,2025-02-20,108107,1152068.237039889,663636.356074669,488431.88096522004,175204.47510944906,184970856.30264553,10.656740424208321,1710.9979585285462,16000.0,15.113745262999997,0.8494612589286571,0.0133141,15.390403348004906,0.08879181539624469,2880.1705925997226
745,2025-02-20,2025-02-22,68162,373670.198526971,245537.248827994,128132.94969897698,117404.29912901696,61898809.75384564,5.482089705803395,908.1131679505537,19055.4,8.49874250935,0.8469304376025889,0.7142857142857143,0.8637683149369176,0.0005830149390716252,934.1754963174275
746,2025-02-22,2025-02-24,44406,362179.598146629,177200.342333184,184979.25581344496,-7778.913480261,58406874.985820636,8.156095981322997,1315.2924151200432,18690.030282163,9.09813367175,0.8466853291568875,0.8356114011955917,1.0,0.0008689975302628202,905.4489953665725
747,2025-02-24,2025-02-26,146445,1312887.932472832,716792.7209428352,596095.2115299972,120697.509412838,180516622.80916473,8.965058093296678,1232.6581502213442,36825.06525723,7.750518132799988,0.8467652362581467,0.8021029359348392,0.9438231206263844,0.0010675098569488174,3282.2198311820803
748,2025-02-26,2025-02-28,92557,371005.246187376,247298.85323510703,123706.39295226896,123592.460282838,48515886.310237035,4.008397486817593,524.1730642764678,42054.297353767,4.822933554399995,0.845723140803812,0.825890981153325,0.9047619047619049,0.00046698823363539916,927.51311546844
749,2025-02-28,2025-03-02,74261,324003.482274702,196044.378487738,127959.10378696398,68085.27470077398,43044641.175106466,4.36303688712382,579.6399344892536,23847.453128606,5.002181999,0.8453292627244672,0.7408343868520859,1.3333333333333335,0.0020268882287621096,810.008705686755
750,2025-03-02,2025-03-04,101845,551739.0114175411,250494.61072159905,301244.40069594205,-50749.789974343,83562819.94060189,5.417438376135707,820.4901560273149,34522.905820362,9.069718805999983,0.8451396431995163,0.6861355259427276,1.0,0.0011416324661407441,1379.3475285438526
751,2025-03-04,2025-03-06,84831,496814.542431616,333734.294099969,163080.24833164702,170654.045768322,66120500.77565613,5.856521111758862,779.4379504621675,39252.704434153,6.0008223785000006,0.8446454472529213,0.786502817450473,1.25,0.0014661099477521783,1242.03635607904
752,2025-03-06,2025-03-08,77363,467919.55642669206,229700.81801508,238218.73841161194,-8517.920396532,64468409.35613862,6.0483636418790905,833.3235442800643,24865.845857285,6.9841358623,0.8442154733123121,0.8231591373616457,2.0,0.00417376865540985,1169.7988910667302
753,2025-03-08,2025-03-10,45425,241366.61644483297,118903.09966480099,122463.51678003199,-3560.4171152309996,30560861.232919693,5.313519349363411,672.7762516878304,29836.519431166,6.003721854999996,0.8441959898384249,0.8311688311688312,0.971618,0.0006212639462996147,603.4165411120824
754,2025-03-10,2025-03-12,78424,507903.49277425004,297962.656657022,209940.8361172279,88021.82053979402,58677875.44010575,6.476378312433057,748.2132439062755,14210.858708538,7.3385329601,0.8440712364111383,0.838095238095238,1.5,0.0023699288275672065,1269.758731935625
755,2025-03-12,2025-03-14,55177,696412.3645444782,403120.8221126561,293291.54243182205,109829.27968083399,83036326.98632044,12.62142495141958,1504.9083311220334,79623.870812574,5.164868166599991,0.8435544452939899,0.7884685658043075,1.0,0.0007845542434365287,1741.0309113611956
756,2025-03-14,2025-03-16,39043,166663.50003759295,111338.44141574102,55325.05862185201,56013.382793888995,20849679.84361608,4.268716544261275,534.0183859748503,3661.194491064,4.4938687488,0.84309490148145,0.8407018316213493,0.8984663374057708,0.000491695949961582,416.6587500939824
757,2025-03-16,2025-03-17,41029,153632.765430157,133438.00162873798,20194.763801418998,113243.23782731903,19022812.051056564,3.7444920770712664,463.64308296708583,7156.661067788,3.4034865587999947,0.8425608821624878,0.7142857142857143,0.9130434782608695,0.000747533645163292,384.0819135753925
758,2025-03-17,2025-03-19,43833,157329.92622635796,96112.41548272497,61217.510743633,34894.904739091995,19086963.17622713,3.589303178572262,435.44733822068144,7738.540576812,7.6015444184,0.8422070411711474,0.8399267850135811,0.9148859518308748,0.0003718355184984277,393.3248155658949
759,2025-03-19,2025-03-21,40169,202962.83115956403,143297.01381239403,59665.81734716999,83631.19646522401,24798585.49006984,5.052723024211806,617.3563068552825,10067.0,6.614773867399995,0.841828716240429,0.7454460366449657,0.9032258064516129,0.0006510454419388485,507.4070778989101
