EPOCH,PROTOCOL,AGGREGATOR,NUM_SWAPS,VOLUME_SOL,AVG_SWAP_USD,MARKET_SHARE_PCT,UNIQUE_POOLS_USED
740,orca-whirlpool-v2,jupiter-aggregator-v6,28351,184825.54886036098,1248.063798520121,66.15997860560506,3
740,meteora-dlmm,jupiter-aggregator-v6,3828,47213.721792542,2364.1749808158324,16.90057918370121,3
740,orca-whirlpool,jupiter-aggregator-v6,4211,16800.044269956998,772.5558110821339,6.01372795226121,2
740,raydium-clmm,jupiter-aggregator-v6,6807,11829.655718107997,332.4589222402785,4.234532368752789,1
740,meteora,jupiter-aggregator-v6,6775,8246.892358658999,233.30525934626922,2.952049786276185,2
740,orca-whirlpool,,923,3378.8126314220003,707.0084769240361,1.2094765728309447,5
740,raydium-clmm,raydium-router,220,1667.8093683769996,1448.1143201750767,0.5970074635807819,1
740,raydium-clmm,,495,1377.919242714,536.3280748674356,0.49323866846506775,1
740,orca-whirlpool-v2,okx-aggregator,415,996.625188231,459.1732624627941,0.35675100946669686,2
740,meteora-dlmm,,263,986.863861514,720.7558329781435,0.35325685419032343,6
740,meteora,,357,914.7057631660002,493.5381727368133,0.3274272095748399,2
740,orca-whirlpool-v2,,569,840.561288039,284.5225069586328,0.30088652340686717,5
740,raydium-clmm,okx-aggregator,199,114.15480459300002,110.02885082844546,0.04086274584963328,1
740,stabble,jupiter-aggregator-v6,2052,88.70009580199998,8.316767019983285,0.03175100237364433,4
740,meteora-dlmm,okx-aggregator,59,51.216086209,165.6369892167695,0.018333261763557932,3
740,stabble,,35,25.592862489999995,141.68726267240925,0.009161196843375007,4
740,raydium-clmm,dflow-v1,2,1.583778071,150.04361181119052,0.0005669276998741754,1
740,stabble,okx-aggregator,57,0.9764803399999997,3.2982311118014547,0.00034953997865307763,4
740,orca-whirlpool,photon,6,0.131354617,4.1581863777357535,4.7019574426007606e-05,1
740,orca-whirlpool,jupiter-aggregator-v4,3,0.044999015,2.8877543899173035,1.6107804835588935e-05,2
741,orca-whirlpool-v2,jupiter-aggregator-v6,27436,131532.413157919,891.2414168768472,68.6815612924936,2
741,meteora-dlmm,jupiter-aggregator-v6,3532,22483.230256738003,1187.8848209692183,11.739945461788473,6
741,raydium-clmm,jupiter-aggregator-v6,7268,10016.673430700997,256.1945218218668,5.230351619502416,1
741,orca-whirlpool,jupiter-aggregator-v6,4466,8625.101994176002,359.3801006031728,4.5037223680811245,2
741,meteora,jupiter-aggregator-v6,7289,6663.744309352999,170.07285710523968,3.47957094553449,2
741,orca-whirlpool,,1243,5242.330083915999,783.5806792460147,2.73735884813182,11
741,raydium-clmm,,550,1703.2163407599999,579.1762534196397,0.8893591677804761,2
741,orca-whirlpool-v2,,484,1236.4000395700004,475.2938366877199,0.6456042511575858,3
741,raydium-clmm,raydium-router,189,1082.6049807720003,1067.0726534613348,0.5652979258669854,2
741,orca-whirlpool-v2,okx-aggregator,282,1014.3791258070003,662.2255682119921,0.529672804066129,2
741,meteora,,420,921.524779213,410.0712442368989,0.48118755739758706,3
741,meteora-dlmm,,475,735.577183194,287.9068259438181,0.3840923174749559,6
741,raydium-clmm,okx-aggregator,120,137.63893271400002,211.94391549385648,0.07187016923410604,1
741,stabble,jupiter-aggregator-v6,2008,83.365818001,7.705477562255977,0.04353067355238306,4
741,stabble,,42,18.687060536999997,82.46966218598466,0.009757720267076482,4
741,meteora-dlmm,okx-aggregator,47,11.697074281999999,46.33701324107934,0.006107797347848368,3
741,raydium-clmm,dflow-v1,7,0.6934731350000001,18.456454107596418,0.00036210707674781727,1
741,stabble,okx-aggregator,50,0.6901346530000001,2.563899491276615,0.0003603638398482434,4
741,orca-whirlpool,dflow-v1,2,0.261359714,24.577195228417953,0.00013647277340626262,1
741,orca-whirlpool,photon,4,0.23757546200000002,10.93498796759909,0.00012405348053148757,1
741,meteora-dlmm,dflow-v1,2,0.04995198,4.703433099650628,2.6083152385658648e-05,1
742,orca-whirlpool-v2,jupiter-aggregator-v6,21858,101450.625485722,874.7775765313866,55.25137088968387,2
742,meteora-dlmm,jupiter-aggregator-v6,9404,49952.85549056701,1001.5697591426481,27.20499486813447,6
742,orca-whirlpool,jupiter-aggregator-v6,2553,10480.583465942997,771.0058213608448,5.7078662792335555,2
742,raydium-clmm,jupiter-aggregator-v6,4066,7068.32010887,327.6139293152095,3.8495019033386852,1
742,meteora,jupiter-aggregator-v6,5470,7050.865185563,242.0227750924852,3.8399957180700524,2
742,orca-whirlpool,,978,2430.146843168,473.2293825544778,1.3234905542023139,9
742,meteora-dlmm,,770,1368.2512664400003,338.2579414420528,0.74516798521854,6
742,meteora-dlmm,okx-aggregator,151,775.534662381,954.2270620886433,0.42236657550276946,3
742,orca-whirlpool-v2,okx-aggregator,256,754.206373711,556.0716802364126,0.4107509035233566,3
742,orca-whirlpool-v2,,573,697.1410045039999,231.51038465723676,0.3796723383206566,3
742,raydium-clmm,,352,524.3958431249999,282.6131988075659,0.2855930072662346,2
742,meteora,,534,522.95801241,185.0877343758045,0.284809945380409,3
742,raydium-clmm,raydium-router,178,375.07131307,397.46626186172347,0.2042688660547278,1
742,raydium-clmm,okx-aggregator,97,92.22652947899999,179.18555709996946,0.050227804527728064,1
742,stabble,jupiter-aggregator-v6,1601,59.988239607000004,7.104479605966512,0.03267039961239124,4
742,stabble,,31,11.588441597000003,70.24994870126959,0.006311220671570913,1
742,stabble,okx-aggregator,60,0.718944121,2.2717678170127855,0.0003915466079006015,4
742,orca-whirlpool,dflow-v1,1,0.488042876,90.86038363051577,0.0002657946939493144,1
742,meteora-dlmm,dflow-v1,1,0.486726059,90.63323267802524,0.0002650775377552298,1
742,raydium-clmm,dflow-v1,1,0.024884746,4.674198986161198,1.355256632631684e-05,1
742,invariant,jupiter-aggregator-v6,1,0.00509079,0.9542138071040667,2.772512491321009e-06,1
742,orca-whirlpool,jupiter-aggregator-v4,4,0.003667446,0.17166111348811575,1.9973402647222276e-06,1
743,orca-whirlpool-v2,jupiter-aggregator-v6,31406,536184.972235435,2981.1214981910516,64.78049481569451,2
743,meteora-dlmm,jupiter-aggregator-v6,9585,177332.847458309,3231.642133970949,21.42490036140207,2
743,raydium-clmm,jupiter-aggregator-v6,8383,36019.710927185,757.9269151910673,4.351809203553647,1
743,meteora,jupiter-aggregator-v6,8094,16873.746917351,367.9845615928684,2.0386428775568697,2
743,orca-whirlpool,jupiter-aggregator-v6,2350,14690.910756053005,1139.56197665779,1.7749182042581464,1
743,orca-whirlpool,,1005,13841.745277379998,2397.927864135472,1.6723242064079245,10
743,orca-whirlpool-v2,okx-aggregator,252,12006.972287420998,8420.726734499125,1.4506516338468536,3
743,meteora-dlmm,okx-aggregator,117,7962.354727682999,12014.124010199188,0.9619913012610557,4
743,meteora-dlmm,,705,4286.326606690999,1043.6295870720355,0.5178630004594694,5
743,orca-whirlpool-v2,,605,2821.6063841910004,797.5205549493738,0.34089925530914733,3
743,raydium-clmm,,571,2580.7665258650004,785.4659118323149,0.311801600578814,2
743,raydium-clmm,okx-aggregator,135,1225.6477296099997,1601.7215882191133,0.14807961898455668,1
743,meteora,,436,1092.122980561,439.19650766134913,0.13194750085100787,3
743,raydium-clmm,raydium-router,180,681.6331687179999,659.0973844190584,0.08235317332421056,1
743,stabble,jupiter-aggregator-v6,1289,57.741924612,7.842169165127945,0.00697623141577612,4
743,stabble,,62,33.82300602699999,94.05401491278087,0.004086408944749749,3
743,orca-whirlpool,dflow-v1,4,1.1274860510000002,49.20959981137923,0.0001362199764328763,1
743,raydium-clmm,dflow-v1,2,0.611361012,53.84422391226506,7.386307136372669e-05,1
743,stabble,okx-aggregator,33,0.40007470799999995,2.144112698235346,4.833600136056127e-05,4
743,meteora-dlmm,dflow-v1,1,0.012907728,2.382318023855599,1.559478631600363e-06,1
743,orca-whirlpool,jupiter-aggregator-v4,5,0.0051948079999999995,0.1774048885236644,6.276233951681209e-07,2
744,orca-whirlpool-v2,jupiter-aggregator-v6,35132,353193.254004677,1629.927464229204,30.657320690670865,2
744,meteora-dlmm,jupiter-aggregator-v6,15883,236450.11956530798,2400.5921844672844,20.52396828271563,4
744,raydium-clmm,jupiter-aggregator-v6,24847,232535.313932921,1495.68895132815,20.184161532861506,2
744,meteora,jupiter-aggregator-v6,16749,136990.98027094998,1294.8409001076548,11.890873809951833,2
744,meteora-dlmm,,2615,64393.68400913799,3931.4368051164706,5.589398434817575,6
744,raydium-clmm,,2938,43750.443805833995,2370.6322010737003,3.7975566376385723,2
744,meteora,,1789,43654.388071208996,3853.5400763197204,3.789218960100321,3
744,orca-whirlpool,,1889,14558.991410411998,1235.7326255811995,1.2637264827142272,20
744,orca-whirlpool-v2,,1100,11213.014275701,1628.3209986153267,0.9732942819872883,2
744,raydium-clmm,raydium-router,327,5246.380433578001,2567.760578790488,0.4553879939488646,1
744,orca-whirlpool,jupiter-aggregator-v6,2020,4039.509313517,325.8174012182256,0.35063108101097107,2
